instant,date,season,year,month,hour,holiday,weekday,workingday,weather_condition,temp,atemp,humidity,windspeed,casual,registered,total_rentals,time_group
3838,2011-06-13,Summer,2011,6,19,0,1,1,Clear,0.66,0.6212,0.39,0.2836,75,348,423,Evening Rush
3839,2011-06-13,Summer,2011,6,20,0,1,1,Clear,0.64,0.6212,0.44,0.2537,78,253,331,Midnight
3840,2011-06-13,Summer,2011,6,21,0,1,1,Clear,0.64,0.6212,0.41,0.2537,40,178,218,Midnight
3841,2011-06-13,Summer,2011,6,22,0,1,1,Clear,0.62,0.6212,0.46,0.2239,20,114,134,Midnight
3842,2011-06-13,Summer,2011,6,23,0,1,1,Clear,0.62,0.6212,0.46,0.194,14,75,89,Midnight
3843,2011-06-14,Summer,2011,6,0,0,2,1,Clear,0.6,0.6212,0.49,0.194,13,18,31,Midnight
3844,2011-06-14,Summer,2011,6,1,0,2,1,Clear,0.6,0.6212,0.49,0.2537,3,10,13,Midnight
3845,2011-06-14,Summer,2011,6,2,0,2,1,Clear,0.6,0.6212,0.49,0.2836,2,8,10,Midnight
3846,2011-06-14,Summer,2011,6,3,0,2,1,Clear,0.58,0.5455,0.53,0.3284,1,1,2,Midnight
3847,2011-06-14,Summer,2011,6,4,0,2,1,Clear,0.54,0.5152,0.6,0.2537,0,3,3,Midnight
3848,2011-06-14,Summer,2011,6,5,0,2,1,Clear,0.54,0.5152,0.56,0.3284,3,23,26,Midnight
3849,2011-06-14,Summer,2011,6,6,0,2,1,Clear,0.54,0.5152,0.56,0.2985,6,107,113,Morning Rush
3850,2011-06-14,Summer,2011,6,7,0,2,1,Clear,0.56,0.5303,0.52,0.4179,19,346,365,Morning Rush
3851,2011-06-14,Summer,2011,6,8,0,2,1,Clear,0.58,0.5455,0.49,0.3881,45,441,486,Morning Rush
3852,2011-06-14,Summer,2011,6,9,0,2,1,Clear,0.62,0.6212,0.46,0.194,19,174,193,Morning Rush
3853,2011-06-14,Summer,2011,6,10,0,2,1,Clear,0.62,0.6212,0.46,0.2239,33,97,130,Midday
3854,2011-06-14,Summer,2011,6,11,0,2,1,Clear,0.64,0.6212,0.41,0.2836,40,103,143,Midday
3855,2011-06-14,Summer,2011,6,12,0,2,1,Clear,0.64,0.6212,0.41,0.3582,30,139,169,Midday
3856,2011-06-14,Summer,2011,6,13,0,2,1,Clear,0.64,0.6212,0.44,0.2239,33,176,209,Midday
3857,2011-06-14,Summer,2011,6,14,0,2,1,Mist,0.64,0.6212,0.47,0.194,41,118,159,Midday
3858,2011-06-14,Summer,2011,6,15,0,2,1,Clear,0.64,0.6212,0.47,0.1642,42,136,178,Midday
3859,2011-06-14,Summer,2011,6,16,0,2,1,Clear,0.68,0.6364,0.41,0.194,51,279,330,Evening Rush
3860,2011-06-14,Summer,2011,6,17,0,2,1,Light Rain,0.64,0.6212,0.5,0.2836,85,484,569,Evening Rush
3861,2011-06-14,Summer,2011,6,18,0,2,1,Clear,0.62,0.6212,0.51,0.3284,65,473,538,Evening Rush
3862,2011-06-14,Summer,2011,6,19,0,2,1,Clear,0.64,0.6212,0.5,0.3582,51,335,386,Evening Rush
3863,2011-06-14,Summer,2011,6,20,0,2,1,Clear,0.6,0.6212,0.56,0.1642,60,237,297,Midnight
3864,2011-06-14,Summer,2011,6,21,0,2,1,Clear,0.6,0.6212,0.56,0.2985,37,206,243,Midnight
3865,2011-06-14,Summer,2011,6,22,0,2,1,Clear,0.58,0.5455,0.6,0.2239,29,159,188,Midnight
3866,2011-06-14,Summer,2011,6,23,0,2,1,Clear,0.56,0.5303,0.68,0.2239,19,91,110,Midnight
3867,2011-06-15,Summer,2011,6,0,0,3,1,Clear,0.56,0.5303,0.64,0.3582,8,44,52,Midnight
3868,2011-06-15,Summer,2011,6,1,0,3,1,Clear,0.54,0.5152,0.64,0.2836,0,14,14,Midnight
3869,2011-06-15,Summer,2011,6,2,0,3,1,Clear,0.52,0.5,0.63,0.2239,0,9,9,Midnight
3870,2011-06-15,Summer,2011,6,3,0,3,1,Clear,0.5,0.4848,0.68,0.2537,0,1,1,Midnight
3871,2011-06-15,Summer,2011,6,4,0,3,1,Clear,0.5,0.4848,0.63,0.2836,0,4,4,Midnight
3872,2011-06-15,Summer,2011,6,5,0,3,1,Clear,0.48,0.4697,0.67,0.2836,1,20,21,Midnight
3873,2011-06-15,Summer,2011,6,6,0,3,1,Clear,0.5,0.4848,0.63,0.2537,11,110,121,Morning Rush
3874,2011-06-15,Summer,2011,6,7,0,3,1,Clear,0.54,0.5152,0.6,0.1343,22,348,370,Morning Rush
3875,2011-06-15,Summer,2011,6,8,0,3,1,Clear,0.58,0.5455,0.53,0.1343,53,445,498,Morning Rush
3876,2011-06-15,Summer,2011,6,9,0,3,1,Clear,0.6,0.6212,0.49,0.0,22,185,207,Morning Rush
3877,2011-06-15,Summer,2011,6,10,0,3,1,Clear,0.64,0.6212,0.47,0.1642,27,108,135,Midday
3878,2011-06-15,Summer,2011,6,11,0,3,1,Clear,0.68,0.6364,0.36,0.0,49,115,164,Midday
3879,2011-06-15,Summer,2011,6,12,0,3,1,Clear,0.7,0.6364,0.34,0.2239,33,178,211,Midday
3880,2011-06-15,Summer,2011,6,13,0,3,1,Clear,0.74,0.6515,0.28,0.2836,43,146,189,Midday
3881,2011-06-15,Summer,2011,6,14,0,3,1,Clear,0.74,0.6515,0.28,0.0,50,128,178,Midday
3882,2011-06-15,Summer,2011,6,15,0,3,1,Clear,0.76,0.6667,0.27,0.0,33,131,164,Midday
3883,2011-06-15,Summer,2011,6,16,0,3,1,Clear,0.76,0.6667,0.27,0.1343,47,265,312,Evening Rush
3884,2011-06-15,Summer,2011,6,17,0,3,1,Clear,0.74,0.6515,0.28,0.1045,83,555,638,Evening Rush
3885,2011-06-15,Summer,2011,6,18,0,3,1,Clear,0.72,0.6515,0.32,0.1343,80,527,607,Evening Rush
3886,2011-06-15,Summer,2011,6,19,0,3,1,Clear,0.7,0.6364,0.37,0.2836,54,362,416,Evening Rush
3887,2011-06-15,Summer,2011,6,20,0,3,1,Clear,0.66,0.6212,0.44,0.1642,57,273,330,Midnight
3888,2011-06-15,Summer,2011,6,21,0,3,1,Clear,0.64,0.6212,0.47,0.2239,48,209,257,Midnight
3889,2011-06-15,Summer,2011,6,22,0,3,1,Clear,0.62,0.6212,0.5,0.1045,31,144,175,Midnight
3890,2011-06-15,Summer,2011,6,23,0,3,1,Clear,0.62,0.6212,0.53,0.0,17,90,107,Midnight
3891,2011-06-16,Summer,2011,6,0,0,4,1,Clear,0.6,0.6212,0.56,0.1045,9,38,47,Midnight
3892,2011-06-16,Summer,2011,6,1,0,4,1,Clear,0.58,0.5455,0.6,0.0,4,13,17,Midnight
3893,2011-06-16,Summer,2011,6,2,0,4,1,Clear,0.6,0.6212,0.56,0.0896,1,4,5,Midnight
3894,2011-06-16,Summer,2011,6,3,0,4,1,Mist,0.56,0.5303,0.73,0.0896,0,4,4,Midnight
3895,2011-06-16,Summer,2011,6,4,0,4,1,Mist,0.56,0.5303,0.68,0.1045,0,6,6,Midnight
3896,2011-06-16,Summer,2011,6,5,0,4,1,Clear,0.6,0.6061,0.64,0.194,7,18,25,Midnight
3897,2011-06-16,Summer,2011,6,6,0,4,1,Light Rain,0.58,0.5455,0.73,0.1642,8,104,112,Morning Rush
3898,2011-06-16,Summer,2011,6,7,0,4,1,Light Rain,0.56,0.5303,0.78,0.1642,16,172,188,Morning Rush
3899,2011-06-16,Summer,2011,6,8,0,4,1,Mist,0.6,0.5909,0.69,0.1343,24,364,388,Morning Rush
3900,2011-06-16,Summer,2011,6,9,0,4,1,Mist,0.62,0.6061,0.65,0.194,29,232,261,Morning Rush
3901,2011-06-16,Summer,2011,6,10,0,4,1,Mist,0.66,0.6212,0.61,0.2537,18,103,121,Midday
3902,2011-06-16,Summer,2011,6,11,0,4,1,Mist,0.68,0.6364,0.61,0.2985,33,117,150,Midday
3903,2011-06-16,Summer,2011,6,12,0,4,1,Clear,0.72,0.6667,0.54,0.3881,41,165,206,Midday
3904,2011-06-16,Summer,2011,6,13,0,4,1,Mist,0.72,0.6667,0.54,0.2537,37,114,151,Midday
3905,2011-06-16,Summer,2011,6,14,0,4,1,Mist,0.72,0.6667,0.54,0.3284,39,114,153,Midday
3906,2011-06-16,Summer,2011,6,15,0,4,1,Mist,0.7,0.6515,0.61,0.2985,32,127,159,Midday
3907,2011-06-16,Summer,2011,6,16,0,4,1,Light Rain,0.66,0.6212,0.69,0.194,36,258,294,Evening Rush
3908,2011-06-16,Summer,2011,6,17,0,4,1,Mist,0.64,0.5909,0.78,0.1045,42,230,272,Evening Rush
3909,2011-06-16,Summer,2011,6,18,0,4,1,Clear,0.64,0.5758,0.83,0.2239,26,299,325,Evening Rush
3910,2011-06-16,Summer,2011,6,19,0,4,1,Clear,0.62,0.5758,0.83,0.2836,58,269,327,Evening Rush
3911,2011-06-16,Summer,2011,6,20,0,4,1,Clear,0.62,0.5758,0.83,0.3284,25,176,201,Midnight
3912,2011-06-16,Summer,2011,6,21,0,4,1,Light Rain,0.62,0.5758,0.83,0.2537,34,154,188,Midnight
3913,2011-06-16,Summer,2011,6,22,0,4,1,Light Rain,0.62,0.5758,0.83,0.2537,24,127,151,Midnight
3914,2011-06-16,Summer,2011,6,23,0,4,1,Light Rain,0.6,0.5606,0.83,0.2537,2,14,16,Midnight
3915,2011-06-17,Summer,2011,6,0,0,5,1,Clear,0.56,0.5303,0.88,0.0896,3,21,24,Midnight
3916,2011-06-17,Summer,2011,6,1,0,5,1,Clear,0.56,0.5303,0.94,0.1343,4,19,23,Midnight
3917,2011-06-17,Summer,2011,6,2,0,5,1,Clear,0.56,0.5303,0.94,0.1045,2,11,13,Midnight
3918,2011-06-17,Summer,2011,6,3,0,5,1,Clear,0.56,0.5303,0.94,0.1045,1,5,6,Midnight
3919,2011-06-17,Summer,2011,6,4,0,5,1,Clear,0.54,0.5152,0.94,0.1343,1,5,6,Midnight
3920,2011-06-17,Summer,2011,6,5,0,5,1,Clear,0.54,0.5152,1.0,0.0,1,12,13,Midnight
3921,2011-06-17,Summer,2011,6,6,0,5,1,Clear,0.56,0.5303,0.94,0.0,8,89,97,Morning Rush
3922,2011-06-17,Summer,2011,6,7,0,5,1,Clear,0.6,0.5606,0.83,0.0,25,225,250,Morning Rush
3923,2011-06-17,Summer,2011,6,8,0,5,1,Mist,0.6,0.5606,0.83,0.0,28,426,454,Morning Rush
3924,2011-06-17,Summer,2011,6,9,0,5,1,Clear,0.7,0.6515,0.58,0.194,28,196,224,Morning Rush
3925,2011-06-17,Summer,2011,6,10,0,5,1,Clear,0.7,0.6515,0.58,0.194,44,126,170,Midday
3926,2011-06-17,Summer,2011,6,11,0,5,1,Clear,0.68,0.6364,0.69,0.2537,43,138,181,Midday
3927,2011-06-17,Summer,2011,6,12,0,5,1,Clear,0.7,0.6515,0.65,0.2537,49,194,243,Midday
3928,2011-06-17,Summer,2011,6,13,0,5,1,Clear,0.74,0.6818,0.62,0.2836,48,156,204,Midday
3929,2011-06-17,Summer,2011,6,14,0,5,1,Clear,0.76,0.697,0.52,0.194,73,142,215,Midday
3930,2011-06-17,Summer,2011,6,15,0,5,1,Clear,0.78,0.697,0.43,0.2239,62,181,243,Midday
3931,2011-06-17,Summer,2011,6,16,0,5,1,Clear,0.76,0.6818,0.45,0.1642,69,286,355,Evening Rush
3932,2011-06-17,Summer,2011,6,17,0,5,1,Light Rain,0.76,0.6818,0.4,0.194,85,467,552,Evening Rush
3933,2011-06-17,Summer,2011,6,18,0,5,1,Light Rain,0.76,0.6818,0.4,0.194,62,388,450,Evening Rush
3934,2011-06-17,Summer,2011,6,19,0,5,1,Light Rain,0.64,0.5758,0.83,0.2537,53,275,328,Evening Rush
3935,2011-06-17,Summer,2011,6,20,0,5,1,Clear,0.64,0.5909,0.78,0.1045,40,192,232,Midnight
3936,2011-06-17,Summer,2011,6,21,0,5,1,Clear,0.64,0.5909,0.78,0.0896,49,159,208,Midnight
3937,2011-06-17,Summer,2011,6,22,0,5,1,Clear,0.62,0.5606,0.88,0.1343,48,127,175,Midnight
3938,2011-06-17,Summer,2011,6,23,0,5,1,Clear,0.62,0.5758,0.83,0.1343,37,141,178,Midnight
3939,2011-06-18,Summer,2011,6,0,0,6,0,Clear,0.62,0.5606,0.88,0.1343,21,83,104,Midnight
3940,2011-06-18,Summer,2011,6,1,0,6,0,Clear,0.62,0.5758,0.83,0.1045,15,80,95,Midnight
3941,2011-06-18,Summer,2011,6,2,0,6,0,Clear,0.6,0.5455,0.88,0.0,16,37,53,Midnight
3942,2011-06-18,Summer,2011,6,3,0,6,0,Clear,0.6,0.5455,0.88,0.0896,4,16,20,Midnight
3943,2011-06-18,Summer,2011,6,4,0,6,0,Clear,0.6,0.5455,0.88,0.0896,1,4,5,Midnight
3944,2011-06-18,Summer,2011,6,5,0,6,0,Clear,0.62,0.5758,0.83,0.0,1,6,7,Midnight
3945,2011-06-18,Summer,2011,6,6,0,6,0,Clear,0.62,0.5758,0.83,0.1045,9,18,27,Morning Rush
3946,2011-06-18,Summer,2011,6,7,0,6,0,Clear,0.64,0.5909,0.78,0.1343,12,45,57,Morning Rush
3947,2011-06-18,Summer,2011,6,8,0,6,0,Clear,0.66,0.6061,0.78,0.0896,28,103,131,Morning Rush
3948,2011-06-18,Summer,2011,6,9,0,6,0,Clear,0.7,0.6515,0.61,0.2239,62,156,218,Morning Rush
3949,2011-06-18,Summer,2011,6,10,0,6,0,Clear,0.72,0.6818,0.62,0.194,68,176,244,Midday
3950,2011-06-18,Summer,2011,6,11,0,6,0,Clear,0.72,0.6818,0.62,0.1343,134,270,404,Midday
3951,2011-06-18,Summer,2011,6,12,0,6,0,Clear,0.74,0.697,0.66,0.0896,162,258,420,Midday
3952,2011-06-18,Summer,2011,6,13,0,6,0,Clear,0.76,0.697,0.55,0.0,135,192,327,Midday
3953,2011-06-18,Summer,2011,6,14,0,6,0,Mist,0.8,0.7273,0.46,0.2836,138,196,334,Midday
3954,2011-06-18,Summer,2011,6,15,0,6,0,Mist,0.82,0.7576,0.46,0.1343,153,214,367,Midday
3955,2011-06-18,Summer,2011,6,16,0,6,0,Mist,0.76,0.697,0.52,0.2239,193,275,468,Evening Rush
3956,2011-06-18,Summer,2011,6,17,0,6,0,Mist,0.76,0.6818,0.48,0.1642,210,239,449,Evening Rush
3957,2011-06-18,Summer,2011,6,18,0,6,0,Mist,0.74,0.6818,0.55,0.194,118,263,381,Evening Rush
3958,2011-06-18,Summer,2011,6,19,0,6,0,Mist,0.74,0.6667,0.51,0.1045,99,227,326,Evening Rush
3959,2011-06-18,Summer,2011,6,20,0,6,0,Mist,0.72,0.6667,0.58,0.1343,61,127,188,Midnight
3960,2011-06-18,Summer,2011,6,21,0,6,0,Mist,0.72,0.6818,0.66,0.1045,58,125,183,Midnight
3961,2011-06-18,Summer,2011,6,22,0,6,0,Mist,0.72,0.6818,0.62,0.1343,56,105,161,Midnight
3962,2011-06-18,Summer,2011,6,23,0,6,0,Mist,0.72,0.6818,0.62,0.0,53,97,150,Midnight
3963,2011-06-19,Summer,2011,6,0,0,0,0,Clear,0.7,0.6515,0.65,0.0,18,71,89,Midnight
3964,2011-06-19,Summer,2011,6,1,0,0,0,Mist,0.7,0.6515,0.65,0.0896,17,59,76,Midnight
3965,2011-06-19,Summer,2011,6,2,0,0,0,Clear,0.68,0.6364,0.74,0.0896,13,59,72,Midnight
3966,2011-06-19,Summer,2011,6,3,0,0,0,Mist,0.66,0.6061,0.78,0.1343,14,16,30,Midnight
3967,2011-06-19,Summer,2011,6,4,0,0,0,Mist,0.66,0.6212,0.74,0.1343,7,10,17,Midnight
3968,2011-06-19,Summer,2011,6,5,0,0,0,Mist,0.66,0.6061,0.78,0.0,7,12,19,Midnight
3969,2011-06-19,Summer,2011,6,6,0,0,0,Mist,0.66,0.6061,0.78,0.1642,11,22,33,Morning Rush
3970,2011-06-19,Summer,2011,6,7,0,0,0,Mist,0.66,0.6061,0.78,0.1642,35,36,71,Morning Rush
3971,2011-06-19,Summer,2011,6,8,0,0,0,Light Rain,0.68,0.6364,0.74,0.1045,25,59,84,Morning Rush
3972,2011-06-19,Summer,2011,6,9,0,0,0,Mist,0.68,0.6364,0.74,0.1045,58,111,169,Morning Rush
3973,2011-06-19,Summer,2011,6,10,0,0,0,Mist,0.7,0.6515,0.61,0.1045,86,158,244,Midday
3974,2011-06-19,Summer,2011,6,11,0,0,0,Mist,0.72,0.6667,0.58,0.0896,141,236,377,Midday
3975,2011-06-19,Summer,2011,6,12,0,0,0,Mist,0.74,0.6818,0.55,0.0896,141,255,396,Midday
3976,2011-06-19,Summer,2011,6,13,0,0,0,Mist,0.74,0.6667,0.51,0.0,149,214,363,Midday
3977,2011-06-19,Summer,2011,6,14,0,0,0,Light Rain,0.74,0.6818,0.58,0.1045,124,193,317,Midday
3978,2011-06-19,Summer,2011,6,15,0,0,0,Mist,0.74,0.6818,0.55,0.1045,146,216,362,Midday
3979,2011-06-19,Summer,2011,6,16,0,0,0,Mist,0.76,0.6818,0.48,0.0,121,257,378,Evening Rush
3980,2011-06-19,Summer,2011,6,17,0,0,0,Clear,0.74,0.6667,0.51,0.0,159,238,397,Evening Rush
3981,2011-06-19,Summer,2011,6,18,0,0,0,Mist,0.74,0.6818,0.58,0.0896,78,218,296,Evening Rush
3982,2011-06-19,Summer,2011,6,19,0,0,0,Clear,0.72,0.6818,0.62,0.1343,94,217,311,Evening Rush
3983,2011-06-19,Summer,2011,6,20,0,0,0,Clear,0.7,0.6515,0.7,0.194,86,146,232,Midnight
3984,2011-06-19,Summer,2011,6,21,0,0,0,Clear,0.68,0.6364,0.79,0.1343,57,110,167,Midnight
3985,2011-06-19,Summer,2011,6,22,0,0,0,Clear,0.66,0.6061,0.78,0.2239,38,114,152,Midnight
3986,2011-06-19,Summer,2011,6,23,0,0,0,Clear,0.66,0.6061,0.78,0.194,14,78,92,Midnight
3987,2011-06-20,Summer,2011,6,0,0,1,1,Clear,0.66,0.6061,0.83,0.1642,7,19,26,Midnight
3988,2011-06-20,Summer,2011,6,1,0,1,1,Clear,0.64,0.5758,0.89,0.0896,9,3,12,Midnight
3989,2011-06-20,Summer,2011,6,2,0,1,1,Clear,0.64,0.5758,0.89,0.0896,2,0,2,Midnight
3990,2011-06-20,Summer,2011,6,3,0,1,1,Light Rain,0.64,0.5758,0.89,0.0,1,0,1,Midnight
3991,2011-06-20,Summer,2011,6,4,0,1,1,Light Rain,0.62,0.5606,0.88,0.1642,1,2,3,Midnight
3992,2011-06-20,Summer,2011,6,5,0,1,1,Light Rain,0.62,0.5758,0.83,0.1343,0,3,3,Midnight
3993,2011-06-20,Summer,2011,6,6,0,1,1,Light Rain,0.6,0.5758,0.78,0.1343,1,25,26,Morning Rush
3994,2011-06-20,Summer,2011,6,7,0,1,1,Light Rain,0.56,0.5303,0.88,0.194,0,46,46,Morning Rush
3995,2011-06-20,Summer,2011,6,8,0,1,1,Light Rain,0.56,0.5303,0.83,0.194,12,209,221,Morning Rush
3996,2011-06-20,Summer,2011,6,9,0,1,1,Mist,0.6,0.5758,0.78,0.2537,19,200,219,Morning Rush
3997,2011-06-20,Summer,2011,6,10,0,1,1,Mist,0.6,0.5758,0.78,0.2537,33,58,91,Midday
3998,2011-06-20,Summer,2011,6,11,0,1,1,Mist,0.6,0.5758,0.78,0.1045,27,67,94,Midday
3999,2011-06-20,Summer,2011,6,12,0,1,1,Mist,0.62,0.6061,0.69,0.1045,33,129,162,Midday
4000,2011-06-20,Summer,2011,6,13,0,1,1,Clear,0.64,0.6061,0.65,0.1045,50,129,179,Midday
4001,2011-06-20,Summer,2011,6,14,0,1,1,Clear,0.66,0.6212,0.61,0.1045,45,130,175,Midday
4002,2011-06-20,Summer,2011,6,15,0,1,1,Clear,0.66,0.6212,0.61,0.1343,66,139,205,Midday
4003,2011-06-20,Summer,2011,6,16,0,1,1,Clear,0.7,0.6515,0.58,0.1642,61,238,299,Evening Rush
4004,2011-06-20,Summer,2011,6,17,0,1,1,Clear,0.7,0.6515,0.54,0.0,81,484,565,Evening Rush
4005,2011-06-20,Summer,2011,6,18,0,1,1,Clear,0.7,0.6515,0.61,0.2537,64,474,538,Evening Rush
4006,2011-06-20,Summer,2011,6,19,0,1,1,Clear,0.66,0.6212,0.65,0.2239,62,369,431,Evening Rush
4007,2011-06-20,Summer,2011,6,20,0,1,1,Clear,0.66,0.6212,0.69,0.2239,52,264,316,Midnight
4008,2011-06-20,Summer,2011,6,21,0,1,1,Clear,0.64,0.6061,0.73,0.1642,39,167,206,Midnight
4009,2011-06-20,Summer,2011,6,22,0,1,1,Mist,0.64,0.6061,0.73,0.2239,24,106,130,Midnight
4010,2011-06-20,Summer,2011,6,23,0,1,1,Clear,0.62,0.5909,0.78,0.2537,10,50,60,Midnight
4011,2011-06-21,Fall,2011,6,0,0,2,1,Clear,0.62,0.5909,0.78,0.1642,10,23,33,Midnight
4012,2011-06-21,Fall,2011,6,1,0,2,1,Light Rain,0.62,0.5909,0.78,0.1642,2,12,14,Midnight
4013,2011-06-21,Fall,2011,6,2,0,2,1,Light Rain,0.62,0.5758,0.83,0.1642,1,5,6,Midnight
4014,2011-06-21,Fall,2011,6,3,0,2,1,Light Rain,0.62,0.5758,0.83,0.1642,0,2,2,Midnight
4015,2011-06-21,Fall,2011,6,4,0,2,1,Mist,0.6,0.5455,0.88,0.1045,2,7,9,Midnight
4016,2011-06-21,Fall,2011,6,5,0,2,1,Mist,0.6,0.5455,0.88,0.1343,3,22,25,Midnight
4017,2011-06-21,Fall,2011,6,6,0,2,1,Mist,0.6,0.5455,0.88,0.1343,8,107,115,Morning Rush
4018,2011-06-21,Fall,2011,6,7,0,2,1,Mist,0.6,0.5152,0.94,0.0,21,288,309,Morning Rush
4019,2011-06-21,Fall,2011,6,8,0,2,1,Mist,0.62,0.5606,0.88,0.1045,33,368,401,Morning Rush
4020,2011-06-21,Fall,2011,6,9,0,2,1,Mist,0.62,0.5606,0.88,0.2537,32,243,275,Morning Rush
4021,2011-06-21,Fall,2011,6,10,0,2,1,Mist,0.64,0.5758,0.83,0.194,41,120,161,Midday
4022,2011-06-21,Fall,2011,6,11,0,2,1,Clear,0.66,0.6061,0.83,0.1642,52,119,171,Midday
4023,2011-06-21,Fall,2011,6,12,0,2,1,Clear,0.7,0.6667,0.74,0.1642,40,149,189,Midday
4024,2011-06-21,Fall,2011,6,13,0,2,1,Clear,0.74,0.697,0.66,0.1642,49,158,207,Midday
4025,2011-06-21,Fall,2011,6,14,0,2,1,Clear,0.76,0.7121,0.62,0.2239,44,108,152,Midday
4026,2011-06-21,Fall,2011,6,15,0,2,1,Clear,0.78,0.7424,0.59,0.2537,42,128,170,Midday
4027,2011-06-21,Fall,2011,6,16,0,2,1,Clear,0.8,0.7727,0.59,0.2239,62,273,335,Evening Rush
4028,2011-06-21,Fall,2011,6,17,0,2,1,Clear,0.78,0.7576,0.66,0.2239,65,507,572,Evening Rush
4029,2011-06-21,Fall,2011,6,18,0,2,1,Mist,0.76,0.7273,0.7,0.2537,67,469,536,Evening Rush
4030,2011-06-21,Fall,2011,6,19,0,2,1,Mist,0.74,0.7121,0.74,0.2239,67,358,425,Evening Rush
4031,2011-06-21,Fall,2011,6,20,0,2,1,Light Rain,0.74,0.697,0.7,0.2239,72,254,326,Midnight
4032,2011-06-21,Fall,2011,6,21,0,2,1,Clear,0.72,0.697,0.74,0.194,38,191,229,Midnight
4033,2011-06-21,Fall,2011,6,22,0,2,1,Clear,0.7,0.6667,0.79,0.1045,12,97,109,Midnight
4034,2011-06-21,Fall,2011,6,23,0,2,1,Clear,0.7,0.6667,0.74,0.1045,11,53,64,Midnight
4035,2011-06-22,Fall,2011,6,0,0,3,1,Clear,0.66,0.6061,0.78,0.194,15,18,33,Midnight
4036,2011-06-22,Fall,2011,6,1,0,3,1,Clear,0.66,0.6061,0.78,0.1343,2,19,21,Midnight
4037,2011-06-22,Fall,2011,6,2,0,3,1,Clear,0.66,0.6061,0.78,0.0,2,5,7,Midnight
4038,2011-06-22,Fall,2011,6,3,0,3,1,Clear,0.66,0.6061,0.78,0.1343,0,7,7,Midnight
4039,2011-06-22,Fall,2011,6,4,0,3,1,Clear,0.64,0.5758,0.83,0.0,3,8,11,Midnight
4040,2011-06-22,Fall,2011,6,5,0,3,1,Clear,0.64,0.5758,0.89,0.0,2,21,23,Midnight
4041,2011-06-22,Fall,2011,6,6,0,3,1,Clear,0.66,0.6061,0.83,0.0,12,110,122,Morning Rush
4042,2011-06-22,Fall,2011,6,7,0,3,1,Clear,0.7,0.6667,0.79,0.0,23,288,311,Morning Rush
4043,2011-06-22,Fall,2011,6,8,0,3,1,Clear,0.72,0.697,0.74,0.1045,27,396,423,Morning Rush
4044,2011-06-22,Fall,2011,6,9,0,3,1,Clear,0.72,0.697,0.79,0.1642,14,205,219,Morning Rush
4045,2011-06-22,Fall,2011,6,10,0,3,1,Clear,0.74,0.697,0.7,0.2537,31,104,135,Midday
4046,2011-06-22,Fall,2011,6,11,0,3,1,Clear,0.74,0.697,0.7,0.1642,37,108,145,Midday
4047,2011-06-22,Fall,2011,6,12,0,3,1,Mist,0.8,0.7727,0.59,0.2239,44,144,188,Midday
4048,2011-06-22,Fall,2011,6,13,0,3,1,Mist,0.82,0.7879,0.56,0.2537,34,113,147,Midday
4049,2011-06-22,Fall,2011,6,14,0,3,1,Mist,0.82,0.7727,0.52,0.2836,32,113,145,Midday
4050,2011-06-22,Fall,2011,6,15,0,3,1,Mist,0.82,0.7879,0.56,0.2836,32,114,146,Midday
4051,2011-06-22,Fall,2011,6,16,0,3,1,Mist,0.82,0.803,0.59,0.3284,34,224,258,Evening Rush
4052,2011-06-22,Fall,2011,6,17,0,3,1,Mist,0.8,0.7576,0.55,0.3881,67,462,529,Evening Rush
4053,2011-06-22,Fall,2011,6,18,0,3,1,Mist,0.8,0.7727,0.59,0.2537,66,447,513,Evening Rush
4054,2011-06-22,Fall,2011,6,19,0,3,1,Mist,0.8,0.7424,0.52,0.2537,62,280,342,Evening Rush
4055,2011-06-22,Fall,2011,6,20,0,3,1,Clear,0.74,0.7121,0.74,0.1343,52,230,282,Midnight
4056,2011-06-22,Fall,2011,6,21,0,3,1,Clear,0.74,0.7121,0.79,0.1642,31,216,247,Midnight
4057,2011-06-22,Fall,2011,6,22,0,3,1,Mist,0.72,0.697,0.79,0.194,25,123,148,Midnight
4058,2011-06-22,Fall,2011,6,23,0,3,1,Mist,0.72,0.697,0.79,0.2239,14,91,105,Midnight
4059,2011-06-23,Fall,2011,6,0,0,4,1,Clear,0.72,0.697,0.79,0.2239,5,44,49,Midnight
4060,2011-06-23,Fall,2011,6,1,0,4,1,Clear,0.72,0.697,0.74,0.2239,5,26,31,Midnight
4061,2011-06-23,Fall,2011,6,2,0,4,1,Clear,0.72,0.697,0.74,0.2239,0,4,4,Midnight
4062,2011-06-23,Fall,2011,6,3,0,4,1,Mist,0.72,0.697,0.74,0.1642,1,4,5,Midnight
4063,2011-06-23,Fall,2011,6,4,0,4,1,Mist,0.7,0.6667,0.79,0.1343,0,7,7,Midnight
4064,2011-06-23,Fall,2011,6,5,0,4,1,Clear,0.72,0.697,0.74,0.1642,2,22,24,Midnight
4065,2011-06-23,Fall,2011,6,6,0,4,1,Clear,0.72,0.697,0.74,0.1642,8,92,100,Morning Rush
4066,2011-06-23,Fall,2011,6,7,0,4,1,Mist,0.72,0.697,0.74,0.1343,26,301,327,Morning Rush
4067,2011-06-23,Fall,2011,6,8,0,4,1,Mist,0.74,0.697,0.7,0.194,20,412,432,Morning Rush
4068,2011-06-23,Fall,2011,6,9,0,4,1,Mist,0.74,0.697,0.7,0.1343,33,194,227,Morning Rush
